iso3,gwcode,country_name,capital_name,capital_name_normalized,valid_from,valid_until,capital_longitude,capital_latitude,iso3_source,source_rows_merged,cshapes_status,cshapes_version,reference_source,source_url,methodological_note,source_file_sha256
CYP,352,Cyprus,Nicosia,nicosia,1993-01-01,2020-12-31,33.3667,35.1667,country_converter,1,independent,2.1,cshapes_2_1,https://icr.ethz.ch/data/cshapes/CShapes-2.1.csv,Independent-state capital period from CShapes 2.1.,2c206c6ad079d3fdabaf0fce2eeb1ea71c3c794ecfa8e9abc12f8f4542b78f38
CZE,316,Czech Republic,Prague,prague,1993-01-01,2020-12-31,14.4667,50.0833,country_converter,1,independent,2.1,cshapes_2_1,https://icr.ethz.ch/data/cshapes/CShapes-2.1.csv,Independent-state capital period from CShapes 2.1.,2c206c6ad079d3fdabaf0fce2eeb1ea71c3c794ecfa8e9abc12f8f4542b78f38
DEU,260,German Federal Republic,Berlin,berlin,1993-01-01,2020-12-31,13.4,52.5167,manual_override,1,independent,2.1,cshapes_2_1,https://icr.ethz.ch/data/cshapes/CShapes-2.1.csv,Independent-state capital period from CShapes 2.1.,2c206c6ad079d3fdabaf0fce2eeb1ea71c3c794ecfa8e9abc12f8f4542b78f38
DJI,522,Djibouti,Djibouti,djibouti,1993-01-01,2020-12-31,43.1506,11.5704,country_converter,1,independent,2.1,cshapes_2_1,https://icr.ethz.ch/data/cshapes/CShapes-2.1.csv,Independent-state capital period from CShapes 2.1.,2c206c6ad079d3fdabaf0fce2eeb1ea71c3c794ecfa8e9abc12f8f4542b78f38
DNK,390,Denmark,Copenhagen,copenhagen,1993-01-01,2020-12-31,12.567,55.677,country_converter,2,independent,2.1,cshapes_2_1,https://icr.ethz.ch/data/cshapes/CShapes-2.1.csv,Independent-state capital period from CShapes 2.1.,2c206c6ad079d3fdabaf0fce2eeb1ea71c3c794ecfa8e9abc12f8f4542b78f38
DOM,42,Dominican Republic,Santo Domingo,santo domingo,1993-01-01,2020-12-31,-69.9,18.4667,country_converter,1,independent,2.1,cshapes_2_1,https://icr.ethz.ch/data/cshapes/CShapes-2.1.csv,Independent-state capital period from CShapes 2.1.,2c206c6ad079d3fdabaf0fce2eeb1ea71c3c794ecfa8e9abc12f8f4542b78f38
DZA,615,Algeria,Algiers,algiers,1993-01-01,2020-12-31,3.05056,36.7631,country_converter,1,independent,2.1,cshapes_2_1,https://icr.ethz.ch/data/cshapes/CShapes-2.1.csv,Independent-state capital period from CShapes 2.1.,2c206c6ad079d3fdabaf0fce2eeb1ea71c3c794ecfa8e9abc12f8f4542b78f38
ECU,130,Ecuador,Quito,quito,1993-01-01,2020-12-31,-78.5,-0.21667,country_converter,2,independent,2.1,cshapes_2_1,https://icr.ethz.ch/data/cshapes/CShapes-2.1.csv,Independent-state capital period from CShapes 2.1.,2c206c6ad079d3fdabaf0fce2eeb1ea71c3c794ecfa8e9abc12f8f4542b78f38
EGY,651,Egypt,Cairo,cairo,1993-01-01,2020-12-31,31.25,30.05,country_converter,4,independent,2.1,cshapes_2_1,https://icr.ethz.ch/data/cshapes/CShapes-2.1.csv,Independent-state capital period from CShapes 2.1.,2c206c6ad079d3fdabaf0fce2eeb1ea71c3c794ecfa8e9abc12f8f4542b78f38
ERI,531,Eritrea,Asmara,asmara,1993-05-24,2020-12-31,38.9333,15.3333,country_converter,1,independent,2.1,cshapes_2_1,https://icr.ethz.ch/data/cshapes/CShapes-2.1.csv,Independent-state capital period from CShapes 2.1.,2c206c6ad079d3fdabaf0fce2eeb1ea71c3c794ecfa8e9abc12f8f4542b78f38
ESP,230,Spain,Madrid,madrid,1993-01-01,2020-12-31,-3.68333,40.4,country_converter,1,independent,2.1,cshapes_2_1,https://icr.ethz.ch/data/cshapes/CShapes-2.1.csv,Independent-state capital period from CShapes 2.1.,2c206c6ad079d3fdabaf0fce2eeb1ea71c3c794ecfa8e9abc12f8f4542b78f38
EST,366,Estonia,Tallinn,tallinn,1993-01-01,2020-12-31,24.7281,59.4339,country_converter,1,independent,2.1,cshapes_2_1,https://icr.ethz.ch/data/cshapes/CShapes-2.1.csv,Independent-state capital period from CShapes 2.1.,2c206c6ad079d3fdabaf0fce2eeb1ea71c3c794ecfa8e9abc12f8f4542b78f38
ETH,530,Ethiopia,Addis Ababa,addis ababa,1993-01-01,2020-12-31,38.7751,9.01393,country_converter,7,independent,2.1,cshapes_2_1,https://icr.ethz.ch/data/cshapes/CShapes-2.1.csv,Independent-state capital period from CShapes 2.1.,2c206c6ad079d3fdabaf0fce2eeb1ea71c3c794ecfa8e9abc12f8f4542b78f38
FIN,375,Finland,Helsinki,helsinki,1993-01-01,2020-12-31,24.9342,60.1756,country_converter,2,independent,2.1,cshapes_2_1,https://icr.ethz.ch/data/cshapes/CShapes-2.1.csv,Independent-state capital period from CShapes 2.1.,2c206c6ad079d3fdabaf0fce2eeb1ea71c3c794ecfa8e9abc12f8f4542b78f38
FJI,950,Fiji,Suva,suva,1993-01-01,2020-12-31,178.43,-18.1341,country_converter,1,independent,2.1,cshapes_2_1,https://icr.ethz.ch/data/cshapes/CShapes-2.1.csv,Independent-state capital period from CShapes 2.1.,2c206c6ad079d3fdabaf0fce2eeb1ea71c3c794ecfa8e9abc12f8f4542b78f38
FRA,220,France,Paris,paris,1993-01-01,2020-12-31,2.33333,48.8667,country_converter,2,independent,2.1,cshapes_2_1,https://icr.ethz.ch/data/cshapes/CShapes-2.1.csv,Independent-state capital period from CShapes 2.1.,2c206c6ad079d3fdabaf0fce2eeb1ea71c3c794ecfa8e9abc12f8f4542b78f38
