country,from_1993Q1,from_2000Q1,from_2003Q1,from_2005Q1,from_2010Q1,from_2015Q1,from_2016Q1,ISO3,income_group,region
"Tanzania, United Republic of",False,False,False,False,False,True,True,TZA,Lower middle income,Sub-Saharan Africa
Thailand,True,True,True,True,True,True,True,THA,Upper middle income,East Asia & Pacific
"Timor-Leste, Democratic Republic of",False,False,False,False,True,True,True,TLS,Lower middle income,East Asia & Pacific
Tonga,False,False,False,False,False,True,True,TON,Upper middle income,East Asia & Pacific
Trinidad and Tobago,False,False,False,False,False,True,True,TTO,High income,Latin America & Caribbean
Tunisia,False,False,False,False,False,False,False,TUN,Lower middle income,Middle East & North Africa
"Türkiye, Republic of",True,True,True,True,True,True,True,TUR,Upper middle income,Europe & Central Asia
Uganda,False,False,True,True,True,True,True,UGA,Low income,Sub-Saharan Africa
Ukraine,False,True,True,True,True,True,True,UKR,Upper middle income,Europe & Central Asia
United Kingdom,True,True,True,True,True,True,True,GBR,High income,Europe & Central Asia
United States,True,True,True,True,True,True,True,USA,High income,North America
Uruguay,False,True,True,True,True,True,True,URY,High income,Latin America & Caribbean
"Uzbekistan, Republic of",False,False,False,True,True,True,True,UZB,Lower middle income,Europe & Central Asia
Vanuatu,True,True,True,True,True,True,True,VUT,Lower middle income,East Asia & Pacific
Vietnam,False,True,True,True,True,True,True,VNM,Lower middle income,East Asia & Pacific
West Bank and Gaza,False,False,False,False,False,True,True,PSE,Lower middle income,Middle East & North Africa
Zambia,False,False,False,True,True,True,True,ZMB,Lower middle income,Sub-Saharan Africa
Zimbabwe,False,False,False,False,False,False,False,ZWE,Lower middle income,Sub-Saharan Africa
