ISO3,year,v2x_libdem,v2cltort,v2clkill,v2x_accountability,v2x_clphy,v2x_rule,v2xcl_prpty
SUR,1991,0.374,1.571,1.83,1.261,0.875,0.761,0.871
SUR,1992,0.626,1.571,1.83,1.274,0.875,0.762,0.871
SUR,1993,0.635,1.571,1.83,1.302,0.875,0.787,0.871
SUR,1994,0.639,1.571,1.83,1.299,0.875,0.787,0.871
SUR,1995,0.639,1.571,1.83,1.293,0.875,0.787,0.871
SUR,1996,0.65,1.571,1.83,1.357,0.875,0.787,0.871
SUR,1997,0.652,1.571,1.83,1.368,0.875,0.787,0.871
SUR,1998,0.652,1.571,1.83,1.362,0.875,0.787,0.871
SUR,1999,0.652,1.571,1.83,1.363,0.875,0.787,0.871
SUR,2000,0.665,1.571,1.83,1.382,0.875,0.787,0.871
SUR,2001,0.662,1.571,1.83,1.37,0.875,0.787,0.871
SUR,2002,0.662,1.571,1.83,1.374,0.875,0.787,0.871
SUR,2003,0.662,1.571,1.83,1.375,0.875,0.787,0.871
SUR,2004,0.662,1.571,1.83,1.376,0.875,0.787,0.871
SUR,2005,0.654,1.571,1.83,1.337,0.875,0.787,0.871
SUR,2006,0.649,1.571,1.83,1.33,0.875,0.787,0.871
SUR,2007,0.645,1.571,1.83,1.333,0.875,0.787,0.871
SUR,2008,0.647,1.571,1.83,1.332,0.875,0.787,0.871
SUR,2009,0.647,1.571,1.83,1.334,0.875,0.787,0.871
SUR,2010,0.632,1.571,1.83,1.283,0.875,0.769,0.871
SUR,2011,0.627,1.571,1.83,1.284,0.875,0.769,0.871
SUR,2012,0.624,1.571,1.83,1.268,0.875,0.769,0.871
SUR,2013,0.627,1.387,1.747,1.284,0.855,0.761,0.846
SUR,2014,0.627,1.387,1.747,1.292,0.855,0.761,0.846
SUR,2015,0.633,1.387,1.747,1.284,0.855,0.761,0.846
SUR,2016,0.622,1.17,1.747,1.268,0.836,0.739,0.846
SUR,2017,0.626,1.17,1.747,1.262,0.836,0.731,0.846
SUR,2018,0.609,1.312,1.747,1.218,0.848,0.718,0.846
SUR,2019,0.583,1.312,1.696,1.196,0.844,0.699,0.709
SUR,2020,0.628,1.468,1.981,1.309,0.877,0.775,0.753
SUR,2021,0.639,2.016,1.981,1.346,0.911,0.79,0.832
SUR,2022,0.655,1.955,1.93,1.356,0.904,0.797,0.752
SUR,2023,0.633,1.955,2.48,1.265,0.931,0.819,0.859
SUR,2024,0.634,1.955,2.48,1.274,0.931,0.828,0.859
SUR,2025,0.626,1.955,2.48,1.319,0.931,0.803,0.859
SWE,1789,0.207,1.753,1.433,,0.858,0.849,0.712
SWE,1790,0.223,1.753,1.433,,0.858,0.849,0.712
SWE,1791,0.223,1.753,1.433,,0.858,0.849,0.712
SWE,1792,0.231,1.753,1.433,,0.858,0.849,0.712
SWE,1793,0.224,1.753,1.433,,0.858,0.849,0.712
SWE,1794,0.224,1.753,1.433,,0.858,0.849,0.712
SWE,1795,0.224,1.753,1.433,,0.858,0.849,0.712
SWE,1796,0.224,1.753,1.433,,0.858,0.849,0.712
SWE,1797,0.224,1.753,1.433,,0.858,0.849,0.712
SWE,1798,0.224,1.753,1.433,,0.858,0.849,0.712
SWE,1799,0.224,1.753,1.433,,0.858,0.849,0.712
SWE,1800,0.224,1.753,1.433,,0.858,0.849,0.712
SWE,1801,0.224,1.753,1.433,,0.858,0.849,0.712
SWE,1802,0.224,1.753,1.433,,0.858,0.849,0.712
SWE,1803,0.224,1.753,1.433,,0.858,0.849,0.712
SWE,1804,0.224,1.753,1.433,,0.858,0.849,0.712
SWE,1805,0.224,1.753,1.433,,0.858,0.849,0.712
SWE,1806,0.224,1.753,1.433,,0.858,0.849,0.712
SWE,1807,0.224,1.753,1.433,,0.858,0.849,0.712
SWE,1808,0.224,1.753,1.433,,0.858,0.849,0.712
SWE,1809,0.28,1.753,1.433,,0.858,0.876,0.712
SWE,1810,0.284,1.753,1.433,,0.858,0.876,0.712
SWE,1811,0.284,1.753,1.433,,0.858,0.876,0.712
SWE,1812,0.283,1.753,1.433,,0.858,0.876,0.712
SWE,1813,0.278,1.753,1.433,,0.858,0.876,0.712
SWE,1814,0.278,1.753,1.433,,0.858,0.876,0.712
SWE,1815,0.279,1.753,1.433,,0.858,0.876,0.712
SWE,1816,0.279,1.753,1.433,,0.858,0.876,0.712
SWE,1817,0.279,1.753,1.433,,0.858,0.876,0.712
