year,gdp_per_capita_constant,gdp_per_capita_current,gdp_deflator,gfkf_percent,gfkf_privat,natural_resources_rents,population_share_largest_city,population_total,fdi_inflow_percent,fdi_inflow_abs,fdi_outflow_percent,fdi_outflow_abs,trade_share,tax_as_perc_of_revenue,tax_of_gdp,mobile_phone_subs,telephone_subs,prim_netenrol,lowsec_netenrol,upsec_netenrol,cc,ge,pv,rl,rq,va,ISO3
2020,17048.361729788,14041.4754074575,5.23042858538314,21.3213198960022,17.057056081034,0.13148617576909,,98462.0,5.79027015191072,80053481.4058233,-3.94347686074575,-54520608.4109618,153.48333156592,,,152.5450781854,15.696934932788,,,,1.1448063,0.4965414,0.727409,0.532971,0.2729044,0.6013803,SYC
2021,17005.0422063679,14982.9111487767,2.75005993802337,16.4677161262206,13.1741727420177,0.120645132507182,,99258.0,7.52808883301193,111955764.374216,-3.25360726246142,-48386794.5932076,183.77081501466,,,149.479213250181,15.2601494466895,,,,1.1441374,0.5612215,0.7262104,0.5521392,0.2723347,0.6802368,SYC
2022,15869.6738782504,16836.6721895387,1.56989645594349,18.0729742622698,,,,119878.0,9.40509377025538,189827389.279515,-1.80965175443903,-36525044.4537489,189.826835436591,,,163.429518331448,15.1582989436115,,2.2027373823781,,1.1495314,0.4110747,0.8411889,0.5983146,0.3267766,0.6695352,SYC
2023,16242.4365925219,18262.7115849287,4.08934911219852,20.5743415497622,,,,119773.0,10.9586044074443,239706294.201897,-1.80631740603081,-39511021.2444476,180.82726250166,,,129.24400747161,14.4148932013036,,1.79552175749894,,1.151735,0.5293894,0.9207856,0.5546447,0.4281497,0.6358143,SYC
2024,16586.4074964781,17858.8226383978,-0.744780009129613,17.169290907803,,,,121354.0,10.4342001858715,226134114.454496,-1.91096627857288,-41415217.2145036,188.369185297411,,,125.616862703001,12.3955282246316,,3.91529989242554,,1.2307957,0.6267672,0.9164443,0.5968987,0.3896741,0.6343652,SYC
2025,,,,,,,,,,,,,,,,,,,,,,,,,,,SYC
1960,884.057109677124,141.957418300764,,,,,30.1001762758502,2268356.0,,,,,,,,0.0,,,,,,,,,,,SLE
1961,886.038579044036,142.275127657602,-0.0003268094011588,,,,29.5152460972793,2304227.0,,,,,,,,,,,,,,,,,,,SLE
1962,911.239720141179,146.32194986298,0.0001118653467244,,,,28.9429899964232,2342242.0,,,,,,,,,,,,,,,,,,,SLE
1963,911.161475061012,146.309626743915,0.0001647557098038,,,,28.6560829304197,2382258.0,,,,,,,,,,,,,,,,,,,SLE
1964,955.181698510419,153.377740974545,-0.000278402464886,,,,29.1520628617721,2424390.0,,,,,58.5933210641672,,,,,,,,,,,,,,SLE
1965,1005.40380599095,145.576540628849,5.1971004703548,,,,29.5420148320442,2468666.0,,,,,60.148032723023,,,0.0,0.107118373,,,,,,,,,,SLE
1966,1003.80265359623,149.317655188564,2.73346870869979,,,,29.8762885431614,2514638.0,,,,,59.3959731543624,,,,0.107646,,,,,,,,,,SLE
1967,985.455777250999,136.121402178747,-5.85071363430355,,,,30.1804187598417,2562384.0,,,,,58.3927157561362,,,,0.107646,,,,,,,,,,SLE
1968,986.440732190591,126.308899122773,6.66686738774902,,,,30.4880393426698,2611532.0,,,,,50.5305893780263,,,,0.107646,,,,,,,,,,SLE
1969,1050.49379146851,153.564115961571,14.1650840822584,,,,30.8230320620583,2661365.0,,,,,52.8224326506643,,,,0.107646,,,,,,,,,,SLE
1970,1119.62920786369,160.164147056907,-2.14233879474295,,,7.84917180666127,31.2105641530137,2712286.0,1.88761343410432,8199999.9,,,60.302368173167,,,0.0,,,,,,,,,,,SLE
1971,1137.08055497496,151.83336869958,-6.92952042750981,,,7.76128600036138,31.6798943701475,2763222.0,1.23942524548122,5200000.0,,,63.6544358736779,,,,0.107646,,,20.392,,,,,,,SLE
1972,1126.45855224582,165.357917863636,5.95036646868708,,,7.49333979824727,32.2510205368476,2814388.0,0.816534651372075,3799999.9,,,56.8064421779112,,,,0.107646,,,20.06948,,,,,,,SLE
1973,1130.75817630364,200.641699774769,23.2251971597504,,,8.18385743482295,32.920636417948,2866955.0,1.08478211186473,6240000.0,,,48.042420435065,,,,0.107646,,,21.42923,,,,,,,SLE
1974,1148.8917972974,222.085173234717,14.1608119373017,,,9.27055349046428,33.7311178057882,2920459.0,1.61889477042196,10500000.0,,,50.2303350130848,,,,0.107646,,,,,,,,,,SLE
1975,1146.78716522182,228.374681042069,8.86881051393773,,,10.77638517617,34.3490301359261,2974657.0,1.48674512932824,10100000.0,,,59.5797340975518,,,0.0,,,,29.3806,,,,,,,SLE
1976,1121.22071390809,196.411784759207,8.28418384243774,,,10.2263304239708,34.7964714015419,3028820.0,1.42882131161408,8500000.0,,,50.4664483462835,,,0.0,,,,19.44453,,,,,,,SLE
1977,1101.18995150596,224.21335896988,19.7468635853453,,,15.2782684590894,35.2646238301442,3085354.0,0.731288446760778,5058889.54871564,0.0,0.0,46.4492897066407,,,0.0,,,,20.32919,,,,,,,SLE
1978,1106.11941393464,305.427800560744,23.8501448723086,,,11.2944494529241,35.7471074846344,3145517.0,2.52504114712747,24258785.8702591,0.0,0.0,43.8304797295215,,,0.0,,,,19.78284,,,,,,,SLE
